product_link_id,product_link,canonical_product_link,item_id_raw,sku_from_url,item_id_from_description,item_id_clean
1409,https://www.ulta.com/p/bi-facil-double-action-eye-makeup-remover-xlsImpprod3650064?sku=2235588,https://www.ulta.com/p/bi-facil-double-action-eye-makeup-remover-xlsImpprod3650064,2235588,2235588,2235588,2235588
141,https://www.ulta.com/p/high-fidelity-foundation-pimprod2019009?sku=2573281,https://www.ulta.com/p/high-fidelity-foundation-pimprod2019009,2573281,2573281,2573281,2573281
1410,https://www.ulta.com/p/oil-free-eye-makeup-remover-prod2109669?sku=2109669,https://www.ulta.com/p/oil-free-eye-makeup-remover-prod2109669,2109669,2109669,2109669,2109669
1411,https://www.ulta.com/p/take-day-off-cleansing-balm-makeup-remover-xlsImpprod11771009?sku=2282783,https://www.ulta.com/p/take-day-off-cleansing-balm-makeup-remover-xlsImpprod11771009,2282783,2282783,2282783,2282783
1412,https://www.ulta.com/p/plant-based-hydrating-makeup-removing-face-wipes-all-skin-types-pimprod2030177?sku=2591828,https://www.ulta.com/p/plant-based-hydrating-makeup-removing-face-wipes-all-skin-types-pimprod2030177,2591828,2591828,2591828,2591828
1413,https://www.ulta.com/p/travel-size-take-day-off-makeup-remover-xlsImpprod11951027?sku=2282782,https://www.ulta.com/p/travel-size-take-day-off-makeup-remover-xlsImpprod11951027,2282782,2282782,2282782,2282782
1414,https://www.ulta.com/p/instant-cleansing-balm-pimprod2023935?sku=2582315,https://www.ulta.com/p/instant-cleansing-balm-pimprod2023935,,2582315,2582315,2582315
1415,https://www.ulta.com/p/rinse-off-eye-makeup-remover-solvent-xlsImpprod10791751?sku=2153848,https://www.ulta.com/p/rinse-off-eye-makeup-remover-solvent-xlsImpprod10791751,2153848,2153848,2153848,2153848
1416,https://www.ulta.com/p/respectissime-waterproof-eye-makeup-remover-pimprod2036454?sku=2605295,https://www.ulta.com/p/respectissime-waterproof-eye-makeup-remover-pimprod2036454,2605295,2605295,2605295,2605295
1417,https://www.ulta.com/p/makeup-melt-oil-free-makeup-remover-wipes-xlsImpprod17921132?sku=2524150,https://www.ulta.com/p/makeup-melt-oil-free-makeup-remover-wipes-xlsImpprod17921132,2524150,2524150,2524150,2524150
1418,https://www.ulta.com/p/mini-gently-off-wipes-micellar-water-pimprod2027650?sku=2587733,https://www.ulta.com/p/mini-gently-off-wipes-micellar-water-pimprod2027650,2587733,2587733,2587733,2587733
1419,https://www.ulta.com/p/travel-size-pro-collagen-cleansing-balm-pimprod2004741?sku=2604192,https://www.ulta.com/p/travel-size-pro-collagen-cleansing-balm-pimprod2004741,,2604192,2604192,2604192
142,https://www.ulta.com/p/photofocus-liquid-foundation-xlsImpprod16731069?sku=2518267,https://www.ulta.com/p/photofocus-liquid-foundation-xlsImpprod16731069,,2518267,2518267,2518267
1420,https://www.ulta.com/p/holy-hydration-elf-off-makeup-remover-pimprod2039941?sku=2611367,https://www.ulta.com/p/holy-hydration-elf-off-makeup-remover-pimprod2039941,2611367,2611367,2611367,2611367
1421,https://www.ulta.com/p/superfood-aha-glow-cleansing-butter-pimprod2021098?sku=2570297,https://www.ulta.com/p/superfood-aha-glow-cleansing-butter-pimprod2021098,2570297,2570297,2570297,2570297
1422,https://www.ulta.com/p/makeup-remover-cleansing-towelette-singles-pimprod2002068?sku=2534782,https://www.ulta.com/p/makeup-remover-cleansing-towelette-singles-pimprod2002068,,2534782,2534782,2534782
1423,https://www.ulta.com/p/calm-restore-makeup-remover-wipes-pimprod2028510?sku=2587059,https://www.ulta.com/p/calm-restore-makeup-remover-wipes-pimprod2028510,,2587059,2587059,2587059
1424,https://www.ulta.com/p/comforting-eye-makeup-remover-with-hyaluronic-acid-pimprod2033424?sku=2597413,https://www.ulta.com/p/comforting-eye-makeup-remover-with-hyaluronic-acid-pimprod2033424,2597413,2597413,2597413,2597413
1425,https://www.ulta.com/p/gentle-makeup-removing-wipes-fragrance-alcohol-free-pimprod2036470?sku=2605919,https://www.ulta.com/p/gentle-makeup-removing-wipes-fragrance-alcohol-free-pimprod2036470,2605919,2605919,2605919,2605919
1426,https://www.ulta.com/p/demaquillant-yeux-intense-gentle-bi-phase-eye-makeup-remover-pimprod2039952?sku=2607864,https://www.ulta.com/p/demaquillant-yeux-intense-gentle-bi-phase-eye-makeup-remover-pimprod2039952,2607864,2607864,2607864,2607864
1427,https://www.ulta.com/p/falscara-false-eyelash-rosewater-remover-pimprod2014175?sku=2559006,https://www.ulta.com/p/falscara-false-eyelash-rosewater-remover-pimprod2014175,2559006,2559006,2559006,2559006
1428,https://www.ulta.com/p/take-day-off-cleansing-balm-makeup-remover-mini-xlsImpprod18791009?sku=2532674,https://www.ulta.com/p/take-day-off-cleansing-balm-makeup-remover-mini-xlsImpprod18791009,2532674,2532674,2532674,2532674
1429,https://www.ulta.com/p/take-it-away-makeup-remover-lotion-xlsImpprod14641617?sku=2309331,https://www.ulta.com/p/take-it-away-makeup-remover-lotion-xlsImpprod14641617,,2309331,2309331,2309331
143,https://www.ulta.com/p/irl-filter-longwear-foundation-pimprod2033090?sku=2597565,https://www.ulta.com/p/irl-filter-longwear-foundation-pimprod2033090,2597565,2597565,2597565,2597565
1430,https://www.ulta.com/p/pure-plush-gentle-deep-cleansing-foam-xlsImpprod13481005?sku=2296211,https://www.ulta.com/p/pure-plush-gentle-deep-cleansing-foam-xlsImpprod13481005,2296211,2296211,2296211,2296211
1431,https://www.ulta.com/p/gentle-eye-makeup-remover-xlsImpprod16501417?sku=2515497,https://www.ulta.com/p/gentle-eye-makeup-remover-xlsImpprod16501417,,2515497,2515497,2515497
1432,https://www.ulta.com/p/waterproof-eye-lip-makeup-remover-pimprod2033204?sku=2587058,https://www.ulta.com/p/waterproof-eye-lip-makeup-remover-pimprod2033204,,2587058,2587058,2587058
1433,https://www.ulta.com/p/clean-artiste-waterproof-long-wearing-eye-makeup-remover-xlsImpprod2850059?sku=2205735,https://www.ulta.com/p/clean-artiste-waterproof-long-wearing-eye-makeup-remover-xlsImpprod2850059,,2205735,2205735,2205735
1434,https://www.ulta.com/p/makeup-removing-towels-pimprod2037115?sku=2601788,https://www.ulta.com/p/makeup-removing-towels-pimprod2037115,,2601788,2601788,2601788
1435,https://www.ulta.com/p/makeup-remover-melting-balm-pimprod2025393?sku=2582619,https://www.ulta.com/p/makeup-remover-melting-balm-pimprod2025393,2582619,2582619,2582619,2582619
1436,https://www.ulta.com/p/100-oil-free-eye-makeup-remover-xlsImpprod1790119?sku=2090124,https://www.ulta.com/p/100-oil-free-eye-makeup-remover-xlsImpprod1790119,,2090124,2090124,2090124
1437,https://www.ulta.com/p/real-clean-face-erase-makeup-removing-balm-pimprod2040203?sku=2610500,https://www.ulta.com/p/real-clean-face-erase-makeup-removing-balm-pimprod2040203,2610500,2610500,2610500,2610500
1438,https://www.ulta.com/p/bye-bye-makeup-3-in-1-makeup-melting-cleansing-balm-pimprod2031748?sku=2594127,https://www.ulta.com/p/bye-bye-makeup-3-in-1-makeup-melting-cleansing-balm-pimprod2031748,2594127,2594127,2594127,2594127
1439,https://www.ulta.com/p/oil-free-eye-makeup-remover-pimprod2033205?sku=2587283,https://www.ulta.com/p/oil-free-eye-makeup-remover-pimprod2033205,,2587283,2587283,2587283
144,https://www.ulta.com/p/instant-age-rewind-eraser-treatment-foundation-pimprod2043641?sku=2620458,https://www.ulta.com/p/instant-age-rewind-eraser-treatment-foundation-pimprod2043641,2620458,2620458,2620458,2620458
1440,https://www.ulta.com/p/take-day-off-charcoal-cleansing-balm-makeup-remover-pimprod2036304?sku=2604464,https://www.ulta.com/p/take-day-off-charcoal-cleansing-balm-makeup-remover-pimprod2036304,2604464,2604464,2604464,2604464
1441,https://www.ulta.com/p/gently-off-eye-lip-makeup-remover-xlsImpprod15921146?sku=2510729,https://www.ulta.com/p/gently-off-eye-lip-makeup-remover-xlsImpprod15921146,2510729,2510729,2510729,2510729
1442,https://www.ulta.com/p/on-go-oopsies-waterproof-makeup-remover-pimprod2020028?sku=2574475,https://www.ulta.com/p/on-go-oopsies-waterproof-makeup-remover-pimprod2020028,,2574475,2574475,2574475
