normalized_comment,number_of_reviews,number_of_products,canonical_product_links
it's niceï¼i love it.,2,2,"[""https://www.ulta.com/p/mini-vitamin-enriched-face-base-moisturizer-primer-with-vitamin-c-hyaluronic-acid-pimprod2025025"", ""https://www.ulta.com/p/vitamin-enriched-face-base-moisturizer-primer-with-vitamin-c-hyaluronic-acid-pimprod2025028""]"
it's not bad it's just not for me or my skin type,2,2,"[""https://www.ulta.com/p/bye-bye-under-eye-full-coverage-anti-aging-waterproof-concealer-xlsImpprod5770259"", ""https://www.ulta.com/p/travel-size-bye-bye-under-eye-full-coverage-anti-aging-waterproof-concealer-xlsImpprod12871043""]"
it's o.k but pretty expensive for an o.k product.,2,2,"[""https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-mini-xlsImpprod13741141"", ""https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-xlsImpprod820350""]"
"it's ok, not the best container. i bought the small one as well to travel with but i foresee it leaking in my makeup bag.",2,2,"[""https://www.ulta.com/p/lash-clean-oil-free-makeup-remover-pimprod2018008"", ""https://www.ulta.com/p/travel-size-lash-clean-oil-free-makeup-remover-pimprod2018009""]"
it's pretty much just pink and gold glitter.,2,2,"[""https://www.ulta.com/p/trublend-so-flushed-high-pigment-blush-pimprod2016942"", ""https://www.ulta.com/p/trublend-so-flushed-high-pigment-bronzer-pimprod2017123""]"
"it's really nice that colourpop offers a veriety of undertones to match. i like mixing a couple shades to get the right balance of tan around the perimeter of my face. i love that this bronzer has a very natural finish. it's also easy to build up to the right payoff without looking too powdery. next time, i'm buying the larger version of the bronzer as this is going into my daily routine.",2,2,"[""https://www.ulta.com/p/cheek-dew-hydrating-serum-blush-pimprod2027226"", ""https://www.ulta.com/p/pressed-powder-bronzer-pimprod2038313""]"
it's so nice feeling on my skin and helps with dark spots and acne coverage. me and my 4 friends all have the concealer and wear it everyday. i highly recommend!,2,2,"[""https://www.ulta.com/p/mini-radiant-creamy-concealer-pimprod2017511"", ""https://www.ulta.com/p/radiant-creamy-concealer-xlsImpprod15251325""]"
"it's so oily and greasy, for starters. not only that but it made me breakout. as someone with already oily and sensitive skin, this is a definite no. didn't even remove mascara. do not buy this!",2,2,"[""https://www.ulta.com/p/take-day-off-cleansing-balm-makeup-remover-mini-xlsImpprod18791009"", ""https://www.ulta.com/p/take-day-off-cleansing-balm-makeup-remover-xlsImpprod11771009""]"
it's the perfect setting spray makes my makeup look good and last long plus ain't too expensive i've tried the expensive ones as well and they make my makeup separate but morphe never had a problem,2,2,"[""https://www.ulta.com/p/continuous-setting-mist-xlsImpprod18351117"", ""https://www.ulta.com/p/mini-continuous-setting-mist-pimprod2017654""]"
it's very very unfortunate bare minerals changed this product. it is a completely different consistency and does not give them same buttery smooth feel to the skin that the old primer did. please bring the old product back!!!,2,2,"[""https://www.ulta.com/p/mini-prime-time-original-pore-minimizing-primer-pimprod2039236"", ""https://www.ulta.com/p/prime-time-original-pore-minimizing-primer-pimprod2036786""]"
"its a good price, i ordered a nude and they gave me a supper pink concealer, i thought i ordered the wrong color but i ordered the right color, so now i have a blush and not s concealer",2,2,"[""https://www.ulta.com/p/hd-pro-corrector-concealer-pimprod2022723"", ""https://www.ulta.com/p/lightweight-hd-pro-creamy-concealer-xlsImpprod15711051""]"
"its a really good product super hydrating sets nicely ,really liquid and milky smooth but for the price i had to get the mini and it's great but i can get this same quality from my elf primers maybe even better for half the price and some times it peels so it's good not great 😊",2,2,"[""https://www.ulta.com/p/photo-finish-primerizer-hydrating-primer-with-hyaluronic-acid-pimprod2030498"", ""https://www.ulta.com/p/travel-size-photo-finish-primerizer-hydrating-primer-with-hyaluronic-acid-pimprod2032761""]"
"its alright! it supposedly says its ""medium coverage"" but in my opinion its more light coverage. it has a light creamy texture and the applicator is nice but it creases in my opinion and doesnt last very long either but if you want a very natural looking concealer this ones for you",2,2,"[""https://www.ulta.com/p/mini-radiant-creamy-concealer-pimprod2017511"", ""https://www.ulta.com/p/radiant-creamy-concealer-xlsImpprod15251325""]"
its crazy how small the full size is now. i thought they sent me a mini. disappointed,2,2,"[""https://www.ulta.com/p/porefessional-lite-ultra-lightweight-face-primer-mini-pimprod2029931"", ""https://www.ulta.com/p/porefessional-lite-ultra-lightweight-face-primer-pimprod2029932""]"
"its great, i love it and 100% recommend",2,2,"[""https://www.ulta.com/p/airbrush-flawless-setting-spray-pimprod2043342"", ""https://www.ulta.com/p/travel-size-airbrush-flawless-setting-spray-pimprod2043334""]"
its more of a golden highlight then a bronzer. no pigmentation at all!,2,2,"[""https://www.ulta.com/p/velvet-contour-bronzer-stick-pimprod2040056"", ""https://www.ulta.com/p/velvet-contour-stick-blush-pimprod2040099""]"
its more of ã greasy mess then anything. no pigmentation. pass for me,2,2,"[""https://www.ulta.com/p/velvet-contour-bronzer-stick-pimprod2040056"", ""https://www.ulta.com/p/velvet-contour-stick-blush-pimprod2040099""]"
its pigmented and does the job! blends into skin and you can say its blends very easily this is it!,2,2,"[""https://www.ulta.com/p/butter-bronzer-murumuru-butter-bronzer-xlsImpprod13621011"", ""https://www.ulta.com/p/matte-monoi-butter-bronzer-pimprod2021750""]"
"ive been devastated since they revamped the box powders because dallas (the og shade) was my holy grail blush. i was browsing online and thought starlaa seemed close. in real life, it is not, which is on me for not going to look in person. however, there is literally no color payoff. even when swatched directly with my finger, i get nothing. so disappointed, not just with this, but the overall decline of benefit over the years.",2,2,"[""https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-mini-xlsImpprod13741141"", ""https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-xlsImpprod820350""]"
ive been using powder foundation for years and would never go back to liquid. although i have a few fine lines (at 63) i find liquid settles in them then you have to use powder to set it so it doesnt move. why not just use a nice creamy powder foundation like this one ? doublewear powder goes on beautifully and covers my rosacea. the range of colors is fabulous and best of all you can buy refills to keep the cost down and help save our planet. please never stop making ecru - its perfect for me.,2,2,"[""https://www.ulta.com/p/double-wear-stay-in-place-matte-powder-foundation-makeup-pimprod2031254"", ""https://www.ulta.com/p/double-wear-stay-in-place-matte-powder-foundation-refill-pimprod2031253""]"
ive been using this for 5 years now. not only did they make the tube smaller so its less product. but the formula is different its so oily and it isnt full coverage. the shades are completely different. i used to use the light shade years back and had to switch to the fair light shade. they modified the shades and they are more orangy and pink toned no neutral tones at all. either warm or cool. no longer purchasing anymore.,2,2,"[""https://www.ulta.com/p/cc-cream-with-spf-50-xlsImpprod5770257"", ""https://www.ulta.com/p/mini-cc-cream-with-spf-50-pimprod2013015""]"
"ive been using this product for a while now and absolutely love it. great coverage, feels light, and isn't greasy. i also occasionally use a tinted spf from another highly rated brand, but i prefer the it cosmetics cc cream 100%.",2,2,"[""https://www.ulta.com/p/cc-cream-with-spf-50-xlsImpprod5770257"", ""https://www.ulta.com/p/mini-cc-cream-with-spf-50-pimprod2013015""]"
"ive bought this product twice and both times the packaging was defective:( the product is good in terms of coverage and blendability however, it creases so much throughout the day. i wouldn't recommend from my experience.",2,2,"[""https://www.ulta.com/p/i-am-magic-concealer-pimprod2006835"", ""https://www.ulta.com/p/i-am-magic-mini-concealer-pimprod2026783""]"
"ive got super dry skin and this was giving hairspray, therefore my face that needs tlc and lost of moisture would get flaky and cracked within the day. i saw my friends makeup blur like magic after spraying this but i forgot to take into account she got oily skinâ¦dry skin girlies beware this'll make your skin super tight like a thin layer of glue and make you feel crusty after dry time. i reccomend the morphe setting spray for us dry girlies.",2,2,"[""https://www.ulta.com/p/airbrush-flawless-setting-spray-pimprod2043342"", ""https://www.ulta.com/p/travel-size-airbrush-flawless-setting-spray-pimprod2043334""]"
ive used a ton of primers and this one is my number 1. its so good for dewy makeup (little to no makeup look) and its super hydrating😊 it made my skin look clearer and smoother,2,2,"[""https://www.ulta.com/p/hangover-replenishing-face-primer-xlsImpprod10751024"", ""https://www.ulta.com/p/travel-size-hangover-replenishing-face-primer-pimprod2031193""]"
just as nice as any hi-end stick; super blendable and beautiful. every color is gorgeous,2,2,"[""https://www.ulta.com/p/megaglo-makeup-stick-blush-xlsImpprod16731045"", ""https://www.ulta.com/p/megaglo-makeup-stick-pimprod2043772""]"
just as nice as any hi-end stick; super blendable and beautiful. every color is gorgeous.,2,2,"[""https://www.ulta.com/p/megaglo-makeup-stick-blush-xlsImpprod16731045"", ""https://www.ulta.com/p/megaglo-makeup-stick-pimprod2043772""]"
keeps makeup from clumping and become shiny,3,3,"[""https://www.ulta.com/p/facestudio-master-prime-blur-pore-minimize-primer-xlsImpprod18351169"", ""https://www.ulta.com/p/facestudio-master-prime-blur-redness-control-primer-xlsImpprod11861005"", ""https://www.ulta.com/p/facestudio-master-prime-blur-smooth-primer-xlsImpprod11861001""]"
"labeled as ã¢â¬ëmakeup with skin care', skin hero takes a more honest approach to the ã¢â¬åno pigment foundationã¢â¬â idea. as someone who doesn't often wear foundation/base, i use this product in its place. skin hero acts as a primer and perfects the complexion, but it lacks the silky slip of silicones in the pink primer &amp; care. i do not find this formula particularly hydrating, but it's not drying either. the consistency is a thick, but lightweight gel-cream. the color is a very pale greenish cream (like the lightest shade of jade), and it helps to subtly color correct minor redness. it gently mattifies, without making skin appear dull; it blurs pores, giving a soft focus effect on the skin, and it wears nicely throughout the day. my only criticism of skin hero is that it's not very smooth in terms of application. it's not buildableã¢â¬"" if you try to build up coverage, you'll see powdery greenish cream colored streaks on your face. i have found that i negate this the best by applying the product as i would a foundation. i use my fingers, and gently spread a small amount of product, then pat it in. i see the subtle difference it makes on my complexion without tint. it really does perfect, and i really like that!",2,2,"[""https://www.ulta.com/p/matte-cream-mattifying-blurring-primer-pimprod2044585"", ""https://www.ulta.com/p/travel-size-matte-cream-mattifying-blurring-primer-pimprod2044589""]"
lasts all day long!,2,2,"[""https://www.ulta.com/p/bye-bye-under-eye-full-coverage-anti-aging-waterproof-concealer-xlsImpprod5770259"", ""https://www.ulta.com/p/travel-size-bye-bye-under-eye-full-coverage-anti-aging-waterproof-concealer-xlsImpprod12871043""]"
legit bound my makeup together giving me such a skin like finish (even with layers of foundation &amp; powder). my look lasted all night without having to reapply. i sprayed after my foundation and again at the end of my look. fave step!,2,2,"[""https://www.ulta.com/p/continuous-setting-mist-xlsImpprod18351117"", ""https://www.ulta.com/p/mini-continuous-setting-mist-pimprod2017654""]"
let me start by saying i have really sensitive combination skin. i used this for a couple of days and it worked fine. it took my makeup off well. the 3rd day it started burning my face upon application and woke up to extra zits the next morning. i really wanted to like this but it's a no go for my face!,2,2,"[""https://www.ulta.com/p/take-day-off-cleansing-balm-makeup-remover-mini-xlsImpprod18791009"", ""https://www.ulta.com/p/take-day-off-cleansing-balm-makeup-remover-xlsImpprod11771009""]"
light not super pigmented,2,2,"[""https://www.ulta.com/p/cheek-dew-hydrating-serum-blush-pimprod2027226"", ""https://www.ulta.com/p/pressed-powder-bronzer-pimprod2038313""]"
light weight coverage,2,2,"[""https://www.ulta.com/p/one-step-correct-brightening-correcting-primer-xlsImpprod2390219"", ""https://www.ulta.com/p/travel-size-one-step-correct-brightening-correcting-primer-xlsImpprod16451215""]"
"like a lot of red haired people, i have a fair amount of natural flushing. this product feels wonderful but doesn't do much to dampen the glow.",3,3,"[""https://www.ulta.com/p/facestudio-master-prime-blur-pore-minimize-primer-xlsImpprod18351169"", ""https://www.ulta.com/p/facestudio-master-prime-blur-redness-control-primer-xlsImpprod11861005"", ""https://www.ulta.com/p/facestudio-master-prime-blur-smooth-primer-xlsImpprod11861001""]"
like it for my dry acne prone sensitive skin. blends nicely and doesn't fade throughout the day,2,2,"[""https://www.ulta.com/p/cheek-dew-hydrating-serum-blush-pimprod2027226"", ""https://www.ulta.com/p/pressed-powder-bronzer-pimprod2038313""]"
lite and useful. this primer seems to help my makeup stick but not as long as the others i have tried in the past. i wouldn't repurchase it as it's not worth the price point.,2,2,"[""https://www.ulta.com/p/porefessional-lite-ultra-lightweight-face-primer-mini-pimprod2029931"", ""https://www.ulta.com/p/porefessional-lite-ultra-lightweight-face-primer-pimprod2029932""]"
literally i have tried different primers but this one it's just great because it's smooth out everything. my make up didn't look cakey thoughout the night,2,2,"[""https://www.ulta.com/p/original-photo-finish-smooth-blur-oil-free-primer-xlsImpprod3590041"", ""https://www.ulta.com/p/travel-size-original-photo-finish-smooth-blur-oil-free-primer-pimprod2033047""]"
literally the best setting spray for matte makeup. i would always buy the smaller ones but once i saw this larger one i couldn't not buy it. morphe did their thing forreal.,2,2,"[""https://www.ulta.com/p/continuous-setting-mist-xlsImpprod18351117"", ""https://www.ulta.com/p/mini-continuous-setting-mist-pimprod2017654""]"
"little effect on oily skin, very disappointing",2,2,"[""https://www.ulta.com/p/matte-cream-mattifying-blurring-primer-pimprod2044585"", ""https://www.ulta.com/p/travel-size-matte-cream-mattifying-blurring-primer-pimprod2044589""]"
"lol i have no idea if im using this wrong or not! i set on top of the liquid foundation version of this or any other cream/liquid foundation i own. i've set with a sponge, a powder pouf, a brush and the cheap sponge it comess with but it doesn't actually set. i use a huge amount and set for a while too, but my skin still feels wet to the touch after i tried setting with this powder. i've tried different techniques and applicators but i can't seem to make it work. this makes me sad becuase it's on the pricy side.",2,2,"[""https://www.ulta.com/p/double-wear-stay-in-place-matte-powder-foundation-makeup-pimprod2031254"", ""https://www.ulta.com/p/double-wear-stay-in-place-matte-powder-foundation-refill-pimprod2031253""]"
looks like i had face tan,2,2,"[""https://www.ulta.com/p/cc-water-with-hyaluronic-acid-pimprod2025143"", ""https://www.ulta.com/p/travel-size-cc-water-with-hyaluronic-acid-pimprod2025144""]"
looooove,2,2,"[""https://www.ulta.com/p/hangover-replenishing-face-primer-xlsImpprod10751024"", ""https://www.ulta.com/p/travel-size-hangover-replenishing-face-primer-pimprod2031193""]"
love,7,7,"[""https://www.ulta.com/p/bronze-stix-pimprod2041471"", ""https://www.ulta.com/p/cheek-dew-hydrating-serum-blush-pimprod2027226"", ""https://www.ulta.com/p/pressed-powder-bronzer-pimprod2038313"", ""https://www.ulta.com/p/revolution-pro-blur-stick-universal-face-primer-pimprod2007566"", ""https://www.ulta.com/p/sculpting-touch-creamy-stick-contour-pimprod2020401"", ""https://www.ulta.com/p/sun-bunny-natural-bronzer-xlsImpprod18031043"", ""https://www.ulta.com/p/vanish-airbrush-concealer-pimprod2020477""]"
love color but product has a perfume smell that isn't necessary.,2,2,"[""https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-mini-xlsImpprod13741141"", ""https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-xlsImpprod820350""]"
"love how silky the texture is and how it applies so smoothly and blends so easily. it is also buildable so i find it very versatile, whether you want to apply a light layer for the sunkissed effect or build it up for contouring purposes.",2,2,"[""https://www.ulta.com/p/laguna-bronzer-powder-talc-free-pimprod2038440"", ""https://www.ulta.com/p/mini-laguna-bronzer-powder-talc-free-pimprod2038438""]"
love how this is super easy to use. blendable. the perfect bronzing color. would purchase when finished. it feels natural/no patchiness. makes me feel like a summer-bronzed goddess.,2,2,"[""https://www.ulta.com/p/laguna-bronzer-powder-talc-free-pimprod2038440"", ""https://www.ulta.com/p/mini-laguna-bronzer-powder-talc-free-pimprod2038438""]"
love it,33,33,"[""https://www.ulta.com/p/amazonian-clay-blurring-powder-foundation-pimprod2036934"", ""https://www.ulta.com/p/baby-got-blush-pimprod2037387"", ""https://www.ulta.com/p/blended-face-powder-xlsImpprod10791891"", ""https://www.ulta.com/p/boi-ing-industrial-strength-full-coverage-cream-concealer-xlsImpprod16251012"", ""https://www.ulta.com/p/bye-bye-under-eye-full-coverage-anti-aging-waterproof-concealer-xlsImpprod5770259"", ""https://www.ulta.com/p/cheeky-rose-cream-blush-pimprod2022397"", ""https://www.ulta.com/p/colored-clay-cc-undereye-corrector-xlsImpprod10821078"", ""https://www.ulta.com/p/continuous-prep-set-setting-mist-pimprod2039645"", ""https://www.ulta.com/p/dual-finish-multi-tasking-lightweight-pressed-powder-foundation-xlsImpprod3650148"", ""https://www.ulta.com/p/futurist-skin-tint-serum-foundation-spf-20-pimprod2041704"", ""https://www.ulta.com/p/grandevanish-bi-phase-makeup-remover-pimprod2039443"", ""https://www.ulta.com/p/hide-peek-concealer-pimprod2024755"", ""https://www.ulta.com/p/hint-hint-skin-tint-pimprod2017569"", ""https://www.ulta.com/p/hy-glam-concealer-pimprod2038096"", ""https://www.ulta.com/p/instant-age-rewind-eraser-treatment-foundation-pimprod2043641"", ""https://www.ulta.com/p/magic-skin-beautifier-bb-cream-anti-redness-xlsImpprod10821034"", ""https://www.ulta.com/p/matte-foundation-broad-spectrum-spf-15-xlsImpprod1480002"", ""https://www.ulta.com/p/mineral-veil-finishing-powder-broad-spectrum-spf-25-xlsImpprod1840021"", ""https://www.ulta.com/p/pure-plush-gentle-deep-cleansing-foam-xlsImpprod13481005"", ""https://www.ulta.com/p/quad-goals-multi-palette-pimprod2026433"", ""https://www.ulta.com/p/shape-tape-cloud-cc-cream-broad-spectrum-spf-15-sunscreen-pimprod2030161"", ""https://www.ulta.com/p/shape-tape-stay-spray-setting-spray-pimprod2007204"", ""https://www.ulta.com/p/skin-feels-good-hydrating-tinted-moisturizer-with-spf-23-xlsImpprod17691285"", ""https://www.ulta.com/p/skin-treat-poreless-tinted-moisturizer-spf-20-pimprod2020888"", ""https://www.ulta.com/p/skin-twin-creamy-concealer-pimprod2038185"", ""https://www.ulta.com/p/smooth-finish-foundation-powder-pimprod2026345"", ""https://www.ulta.com/p/studio-radiance-moisturizing-illuminating-primer-pimprod2032070"", ""https://www.ulta.com/p/travel-size-bye-bye-under-eye-full-coverage-anti-aging-waterproof-concealer-xlsImpprod12871043"", ""https://www.ulta.com/p/travel-size-face-tape-full-coverage-foundation-pimprod2012651"", ""https://www.ulta.com/p/trick-treat-concealer-xlsImpprod15001111"", ""https://www.ulta.com/p/trifecta-metallica-lip-eye-cheek-stick-pimprod2016439"", ""https://www.ulta.com/p/vitalumiere-aqua-ultra-light-skin-perfecting-sunscreen-makeup-broad-spectrum-spf-15-pimprod2030103"", ""https://www.ulta.com/p/water-blush-pimprod2026608""]"
love it it blends beautifully. can definitely combine with primer if you just want a glowy face or foundation. don't really have a scent but it i'd very shimmery.,3,3,"[""https://www.ulta.com/p/bronzing-blendrops-spf-40-priming-drops-pimprod2043859"", ""https://www.ulta.com/p/illuminizing-blendrops-spf-40-priming-drops-pimprod2043861"", ""https://www.ulta.com/p/perfecting-blendrops-spf-40-priming-drops-pimprod2043860""]"
love it non greasy,2,2,"[""https://www.ulta.com/p/mini-prime-time-original-pore-minimizing-primer-pimprod2039236"", ""https://www.ulta.com/p/prime-time-original-pore-minimizing-primer-pimprod2036786""]"
love it!,18,18,"[""https://www.ulta.com/p/cheek-dew-hydrating-serum-blush-pimprod2027226"", ""https://www.ulta.com/p/convertible-color-lip-cheek-cream-blush-VP12620"", ""https://www.ulta.com/p/dream-tint-tinted-moisturizer-pimprod2004093"", ""https://www.ulta.com/p/gen-nude-highlighting-blush-pimprod2039778"", ""https://www.ulta.com/p/makeup-melt-makeup-removing-balm-pimprod2014646"", ""https://www.ulta.com/p/mineralize-skinfinish-natural-face-powder-xlsImpprod15921190"", ""https://www.ulta.com/p/mini-filmstar-bronze-glow-pimprod2043322"", ""https://www.ulta.com/p/nudies-matte-all-over-face-blush-color-xlsImpprod15581029"", ""https://www.ulta.com/p/original-photo-finish-smooth-blur-oil-free-primer-xlsImpprod3590041"", ""https://www.ulta.com/p/pink-primer-care-pimprod2019024"", ""https://www.ulta.com/p/plump-prime-face-plumping-primer-serum-pimprod2016855"", ""https://www.ulta.com/p/pressed-powder-bronzer-pimprod2038313"", ""https://www.ulta.com/p/prime-of-your-life-smoothing-firming-treatment-primer-pimprod2024582"", ""https://www.ulta.com/p/shape-tape-radiant-medium-coverage-concealer-pimprod2039503"", ""https://www.ulta.com/p/smooth-affair-illuminating-glow-face-primer-pimprod2025253"", ""https://www.ulta.com/p/tinted-moisturizer-oil-free-natural-skin-perfector-broad-spectrum-spf-20-pimprod2025045"", ""https://www.ulta.com/p/travel-size-original-photo-finish-smooth-blur-oil-free-primer-pimprod2033047"", ""https://www.ulta.com/p/white-tea-tinted-moisturizer-spf-30-pimprod2037233""]"
"love it! my skin is normal to dry. this applies smoothly, and allows for flawless foundation application. it's comparable to smashbox. great product &amp; value.",3,3,"[""https://www.ulta.com/p/studio-perfect-color-correcting-primer-in-green-xlsImpprod3280313"", ""https://www.ulta.com/p/studio-perfect-color-correcting-primer-in-lavender-xlsImpprod3280315"", ""https://www.ulta.com/p/studio-perfect-face-primer-in-clear-xlsImpprod3280311""]"
love it!!,3,3,"[""https://www.ulta.com/p/futurist-hydra-rescue-moisturizing-foundation-spf-45-pimprod2013152"", ""https://www.ulta.com/p/pure-plush-gentle-deep-cleansing-foam-xlsImpprod13481005"", ""https://www.ulta.com/p/smooth-affair-illuminating-glow-face-primer-pimprod2025253""]"
love it!!!,3,3,"[""https://www.ulta.com/p/lash-clean-oil-free-makeup-remover-pimprod2018008"", ""https://www.ulta.com/p/set-refresh-perfecting-makeup-mist-xlsImpprod16641031"", ""https://www.ulta.com/p/travel-size-lash-clean-oil-free-makeup-remover-pimprod2018009""]"
love it.,6,6,"[""https://www.ulta.com/p/born-this-way-natural-finish-longwear-liquid-foundation-xlsImpprod12621017"", ""https://www.ulta.com/p/chubby-stick-sculpting-contour-xlsImpprod11981013"", ""https://www.ulta.com/p/i-am-magic-concealer-pimprod2006835"", ""https://www.ulta.com/p/i-am-magic-mini-concealer-pimprod2026783"", ""https://www.ulta.com/p/original-mineral-veil-pressed-setting-powder-translucent-pimprod2025830"", ""https://www.ulta.com/p/pure-plush-gentle-deep-cleansing-foam-xlsImpprod13481005""]"
love love love,4,4,"[""https://www.ulta.com/p/4-in-1-correcting-primer-redness-reducer-xlsImpprod18931482"", ""https://www.ulta.com/p/prime-time-redness-reducing-primer-pimprod2036903"", ""https://www.ulta.com/p/sunsetter-spf-30-high-protection-broad-spectrum-setting-spray-pimprod2039647"", ""https://www.ulta.com/p/super-shock-highlighter-xlsImpprod17801017""]"
love the clean feel,2,2,"[""https://www.ulta.com/p/porefessional-lite-ultra-lightweight-face-primer-mini-pimprod2029931"", ""https://www.ulta.com/p/porefessional-lite-ultra-lightweight-face-primer-pimprod2029932""]"
love the color,3,3,"[""https://www.ulta.com/p/bronzed-duo-pimprod2025279"", ""https://www.ulta.com/p/travel-size-amazonian-clay-waterproof-bronzer-pimprod2009599"", ""https://www.ulta.com/p/unlimited-blush-pimprod2032252""]"
"love the continous spray. the price is great and makes it easier for me to purchase whenever i am running low. every time i use this, whether i have powder on or not, it melts my makeup and gives it the most natural, blended and glowy look. i do feel like it extends the life of my look, especially combined with a setting powder. i do air on the greasier side, so during summer powder before and a bit after is a must. regardless, this spray i will purchase again and again. i dont even know how many times i've repurchased this. more than 5 for sure.",2,2,"[""https://www.ulta.com/p/continuous-setting-mist-xlsImpprod18351117"", ""https://www.ulta.com/p/mini-continuous-setting-mist-pimprod2017654""]"
love the fact that i do not need to buy another compact. woul love it even more if they sent another application sponge.,2,2,"[""https://www.ulta.com/p/double-wear-stay-in-place-matte-powder-foundation-makeup-pimprod2031254"", ""https://www.ulta.com/p/double-wear-stay-in-place-matte-powder-foundation-refill-pimprod2031253""]"
"love the lightweight feel, warm color, and ease of application. long wearing without feeling or looking too chalky or ashy. great price. very impressed with the items i've tried by colorpop so far.",2,2,"[""https://www.ulta.com/p/cheek-dew-hydrating-serum-blush-pimprod2027226"", ""https://www.ulta.com/p/pressed-powder-bronzer-pimprod2038313""]"
"love the mist and literally melts my makeup so nice i would totally buy it again,i thinks it's really worth the price and it doesn't have a strong smell like others totally recommended if you want a matte look, for a glowy skin try something elseee",2,2,"[""https://www.ulta.com/p/airbrush-flawless-setting-spray-pimprod2043342"", ""https://www.ulta.com/p/travel-size-airbrush-flawless-setting-spray-pimprod2043334""]"
love the product,2,2,"[""https://www.ulta.com/p/moisturizing-primer-spray-xlsImpprod18691111"", ""https://www.ulta.com/p/tinted-moisturizer-cream-bronzer-pimprod2038471""]"
love the smell and the buttery texture. so easy to apply and blend in.,2,2,"[""https://www.ulta.com/p/butter-bronzer-murumuru-butter-bronzer-xlsImpprod13621011"", ""https://www.ulta.com/p/matte-monoi-butter-bronzer-pimprod2021750""]"
"love these blushes! they're not expensive, but are pigmented and blend like a dream. and, they last all day. i have three shades: floral majority, peach bums, and dusty pink. bought them on a whim, and didn't expect much. but, i was pleasantly surprised! they blend and perform better than more expensive products i've tried. the colors are so pretty and definitely worth the purchase. i would recommend better packaging though. the lid came off one and caused a big mess! i'd be willing to pay more for sturdier packaging, as this is a great product that i will repurchase",2,2,"[""https://www.ulta.com/p/megaglo-makeup-stick-blush-xlsImpprod16731045"", ""https://www.ulta.com/p/megaglo-makeup-stick-pimprod2043772""]"
love these cheek serums! they last all day and blend so easily!,2,2,"[""https://www.ulta.com/p/cheek-dew-hydrating-serum-blush-pimprod2027226"", ""https://www.ulta.com/p/pressed-powder-bronzer-pimprod2038313""]"
love these little samplers. what a great way to find out if you like the color and product. make great little gifts too.,2,2,"[""https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-mini-xlsImpprod13741141"", ""https://www.ulta.com/p/wanderful-world-silky-soft-powder-blush-xlsImpprod820350""]"
love these!,2,2,"[""https://www.ulta.com/p/makeup-removing-towels-pimprod2037115"", ""https://www.ulta.com/p/on-go-oopsies-waterproof-makeup-remover-pimprod2020028""]"
love this,6,6,"[""https://www.ulta.com/p/diamond-bomb-all-over-diamond-veil-pimprod2031379"", ""https://www.ulta.com/p/glow-first-priming-serum-pimprod2038176"", ""https://www.ulta.com/p/moisturizing-complexion-stick-pimprod2045978"", ""https://www.ulta.com/p/pro-matte-mixing-pigment-pimprod2003317"", ""https://www.ulta.com/p/skin-treat-poreless-tinted-moisturizer-spf-20-pimprod2020888"", ""https://www.ulta.com/p/superdewy-liquid-blush-pimprod2024993""]"
"love this blush on cheeks and lips!! i love using this on my cheeks then putting powder blush on top, and i also love using these on lips with a gloss on top! so pretty and great formula!",2,2,"[""https://www.ulta.com/p/megaglo-makeup-stick-blush-xlsImpprod16731045"", ""https://www.ulta.com/p/megaglo-makeup-stick-pimprod2043772""]"
"love this cleansing balm! it smells good, not too strong, like fresh herbs, and the texture is nice and thick. i love that a little bit a really long way. this is extremely effective at pulling out all the nasty impurities from the day, including dirt and oil, but also dissolves all of my make up and sunscreen. i have sensitive skin and this balm has not impacted me negatively at all. this is the perfect way to end a long day, i use it as part of my nighttime skincare ritual. i switch this up with other oil cleansers. this is the first step in a three step facial cleanse; i follow it up with a nice liquid face wash from la roche posay or youth to the people or sunday riley, followed by hardcore skincareâ toners, serums, rx ointments, oils, lotions, based on the needs of my skin that day. i have seen a dramatic improvement in my skin, my texture has improved and my pores are cleaner. this is great for facial lymphatic massage.",2,2,"[""https://www.ulta.com/p/pro-collagen-cleansing-balm-xlsImpprod18731145"", ""https://www.ulta.com/p/travel-size-pro-collagen-cleansing-balm-pimprod2004741""]"
love this contour stick! i use this product everyday when applying my makeup. it doesn't look patchy and gives my face the right amount of glow to it.,2,2,"[""https://www.ulta.com/p/megaglo-makeup-stick-conceal-pimprod2012854"", ""https://www.ulta.com/p/megaglo-makeup-stick-contour-xlsImpprod16731047""]"
love this contouring stick. inexpensive and easy to use for an everyday quick rush to the office makeup. i love it. i've bought it three times in a row. got a couple this time.,2,2,"[""https://www.ulta.com/p/velvet-contour-bronzer-stick-pimprod2040056"", ""https://www.ulta.com/p/velvet-contour-stick-blush-pimprod2040099""]"
