normalized_comment,number_of_reviews,number_of_products,canonical_product_links
bought it on sale and took a chance so impressed! locks in my makeup for hours from am to pm without retouching. also has 4oz while my wet n wild finimat is 1.52oz was worth it :),2,2,"[""https://www.ulta.com/p/porefessional-super-setter-long-lasting-makeup-setting-spray-mini-pimprod2040598"", ""https://www.ulta.com/p/porefessional-super-setter-long-lasting-makeup-setting-spray-pimprod2020913""]"
"bought this concealer today. beauty tech was soo helpful. if your looking for a natrual conceal with coverage and light creamy consistency, i'd say get it. i have struggled w/ dark circles and always prep and color correct before any concealer no matter the brand. i do really like how it came out. covered my circles as much as it could and lasted through the day. i will say there is some slight creasing but that is inevitable w/ alomst concealers as most humans have natrual folds under eyes. my first more high end product and i am so far loving it. i did use a loose setting powder right after application.",2,2,"[""https://www.ulta.com/p/mini-radiant-creamy-concealer-pimprod2017511"", ""https://www.ulta.com/p/radiant-creamy-concealer-xlsImpprod15251325""]"
"bought this on a whim thinking it would be great for summer (combo skin normally, oily in summer). the texture is watery gel and it's hydrating without being greasy. however, has no coverage and the shade is dore was very orangey (i got dore instead of clair with a summer tan in mind).",2,2,"[""https://www.ulta.com/p/cc-water-with-hyaluronic-acid-pimprod2025143"", ""https://www.ulta.com/p/travel-size-cc-water-with-hyaluronic-acid-pimprod2025144""]"
bought this to try and just ordered the full size. it us very moisturizing and not opaque at all. i like to layer it with my tinted moisturizer.,2,2,"[""https://www.ulta.com/p/one-step-correct-brightening-correcting-primer-xlsImpprod2390219"", ""https://www.ulta.com/p/travel-size-one-step-correct-brightening-correcting-primer-xlsImpprod16451215""]"
"breaks down my water proof mascara and foundation. i love the scent too, not too much or overpowering. this is a staple in my night time routine.",2,2,"[""https://www.ulta.com/p/pro-collagen-cleansing-balm-xlsImpprod18731145"", ""https://www.ulta.com/p/travel-size-pro-collagen-cleansing-balm-pimprod2004741""]"
"brightening face primer is really nice! it goes on like butter,creamy and smooth. the scent is wonderful. a little citrusy but not overpowering. definitely not oily, but leaves the skin plump and ready for foundation",2,2,"[""https://www.ulta.com/p/smooth-affair-facial-primer-brightener-pimprod2004113"", ""https://www.ulta.com/p/smooth-affair-mattifying-face-primer-pimprod2033620""]"
buy something else,2,2,"[""https://www.ulta.com/p/fit-me-loose-finishing-powder-xlsImpprod16211173"", ""https://www.ulta.com/p/make-it-last-mattifying-setting-powder-pimprod2025971""]"
"by far the best bb cream i've ever used. i was in ulta beauty supply and happened to see a tube of erborian bb crãâ¨me sitting on a clearance shelf. i thought why not? so i bought it. i have never used anything like it! it's like applying velvet to your face, i will never use anything else ever again.",2,2,"[""https://www.ulta.com/p/bb-cream-spf-20-pimprod2005693"", ""https://www.ulta.com/p/travel-size-bb-cream-spf-20-pimprod2015578""]"
bye-bye under eye is exactly what it is i noticed a lot in the above attribute area people mentioned that a little bit goes a long way and that is very true i really enjoyed that it didn't crease i didn't need to use a setting powder and since i used a little more than i needed to i end up putting it up on my eyelids and again didn't crease up there couldn't be happier another home run for it cosmetics,2,2,"[""https://www.ulta.com/p/bye-bye-under-eye-full-coverage-anti-aging-waterproof-concealer-xlsImpprod5770259"", ""https://www.ulta.com/p/travel-size-bye-bye-under-eye-full-coverage-anti-aging-waterproof-concealer-xlsImpprod12871043""]"
"caused me so many breakouts and overall just doesn't keep my makeup together at all. it can look glowy at first , but then i just look super greasy which i hate lol and i have oily skin combo so this is a no.",2,2,"[""https://www.ulta.com/p/continuous-setting-mist-xlsImpprod18351117"", ""https://www.ulta.com/p/mini-continuous-setting-mist-pimprod2017654""]"
"color is weird, but that's the lightest you have.",2,2,"[""https://www.ulta.com/p/bb-cream-spf-20-pimprod2005693"", ""https://www.ulta.com/p/travel-size-bb-cream-spf-20-pimprod2015578""]"
"compared to other concealers i've tried, thsi ones one of my favorites. it's dirst cheap, has good coverage, and isnt cakey. my only con is that it does end up looking ab it make upy, so if you dont have very dark undereyes like me that you'll probably want something more natural.",2,2,"[""https://www.ulta.com/p/hd-pro-corrector-concealer-pimprod2022723"", ""https://www.ulta.com/p/lightweight-hd-pro-creamy-concealer-xlsImpprod15711051""]"
concealer is great the applicator wand however i dislike..,2,2,"[""https://www.ulta.com/p/mini-radiant-creamy-concealer-pimprod2017511"", ""https://www.ulta.com/p/radiant-creamy-concealer-xlsImpprod15251325""]"
